State FIPS code,State,Year,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer signature,Number of exemptions,Number of dependents,"Number of 
farm returns",Self-employment retirement plansNumber of returns,Self-employment retirement plans Amount,State and local income taxes Number of returns,State and local income taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Taxable income Number of returns,Taxable income Amount,Child tax credit Number of returns,Child tax credit Amount,Residential energy credit Number of returns,Residential energy credit Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded Number of returns,Overpayments refunded Amount
0,US,2012,144276120,66465530,53409400,21672710,80656550,286183920,97473010,1893240,923690,20626591,33026770,279705244,39120210,172104898,45353140,482980004,34360070,326242965,108422160,6327009585,22740900,27477923,2310150,1234003.932,24855630,125000026,111349560,313898673
1,AL,2012,2050090,810190,774210,427560,1238940,4241420,1535340,46930,6860,134950,460600,2124557,473110,614945,574510,3056384,436640,3471625,1469630,68597241,346650,400518,34150,13001,310220,1418852,1651260,4838708
2,AK,2012,362990,185450,131350,37280,156260,675060,211280,1380,2520,52504,21070,22632,79220,318983,84750,385509,74180,757815,299730,16869229,60850,81354,6460,2543,69360,323594,271340,782072
4,AZ,2012,2759600,1205670,1046120,474860,1444290,5816050,2128740,8210,12000,257621,597450,3031725,752100,1825958,848130,5617893,676730,6748151,2040500,103679133,476940,573002,39720,34007,537110,2263902,2059680,5643667
5,AR,2012,1218890,486340,497820,212100,749290,2532560,879930,42250,2670,52184,244110,1751691,245120,420405,293590,2354489,217010,1541626,875610,41562069,214870,250594,14080,5390,198320,877817,964010,2665714
6,CA,2012,16906030,7950890,6135230,2592040,10810550,35624060,13366390,63090,154240,3752619,4669420,57920689,4782200,23748023,5905960,86109509,4328510,59580418,12577200,820569449,2735070,3140046,153480,171035.932,3502340,18045663,12331900,35762706
8,CO,2012,2449110,1159140,968340,278790,1206000,4843830,1572670,29680,17850,343530,743120,4357534,781830,1923511,864400,6736363,722450,7546691,1925010,119345585,397600,502652,40900,18504,500290,2539829,1808290,4711588
9,CT,2012,1741250,852070,633510,221840,959370,3241730,1005480,3230,24520,583399,660100,7824050,678270,4771070,742330,13106271,565500,5491912,1390960,118749214,242360,291316,39610,20149,312810,1881677,1316370,4086882
10,DE,2012,433900,202610,155480,66070,205940,833800,271570,2110,2220,48952,137630,850743,132710,319825,146530,1193256,123510,1207217,341310,17943383,68330,80504,9020,5675,74330,301456,340720,906908
11,DC,2012,327680,211170,52050,56320,153560,518630,147810,180,5580,187402,122490,1499068,85460,346362,130660,1881504,79230,1051547,267160,21290489,28520,27385,3770,2944,65020,342693,246210,759321
12,FL,2012,9223410,4347740,3096120,1578210,5001650,17263060,5434950,36550,32020,640126,161590,2714533,1875050,8120191,2211830,13919701,1625410,16312839,6619080,386898461,1205380,1326665,119600,57765,1494140,8284655,7139340,21302772
13,GA,2012,4332790,1819950,1511430,907290,2383490,9061640,3458810,47650,18750,425359,1292110,7558945,1252560,3333029,1481240,11665283,1149780,9897869,3076490,156053688,704880,792424,64910,22936,730370,3235976,3420590,10150052
15,HI,2012,665150,328590,248160,73580,353040,1272060,391460,5570,4920,100161,170070,1284059,156350,299625,202420,1663481,146570,2015123,517370,24812920,103730,128940,20680,115654,117840,443661,500240,1326209
16,ID,2012,678800,277800,319100,76010,358490,1472430,513020,20260,2740,53910,164280,1057533,186080,396705,205820,1522939,165700,1403981,499200,22391405,127360,172449,10540,3356,126880,613832,510110,1259335
17,IL,2012,6075020,2834000,2196290,951600,3483910,12117710,4291290,67870,40990,980617,1755790,12456507,1873820,11515747,2075120,24898563,1594540,13605349,4588240,287028183,939920,1148411,114170,40564,939970,5241957,4801420,14116768
18,IN,2012,3028360,1368730,1196670,413170,1609800,6070400,2067480,52830,12200,251831,717130,4009809,696500,1446310,766740,5765873,619860,4341895,2232920,106412639,521300,669487,63500,25185,414890,2051649,2449340,6447584
19,IA,2012,1425750,651730,610180,146820,924250,2799120,870500,81030,10710,202507,382520,2461867,399220,1257385,440710,3944736,323680,2072035,1134560,57225296,249860,341881,31450,19783,271320,1456542,1080320,2688104
20,KS,2012,1323200,589800,557000,155830,747450,2670620,885130,57190,8110,155163,315020,2402735,356090,1128859,393520,3845471,293730,2063953,1008640,54200548,235200,309484,21790,8107,238810,1303113,995160,2577393
21,KY,2012,1875530,804650,770280,266710,1128850,3785040,1256870,78830,6770,136731,457930,3221819,469840,1000142,525080,4484763,416340,2839671,1379340,60955715,324120,396570,31470,12797,264600,1115009,1528220,4066599
22,LA,2012,2011170,858300,671290,455060,1143490,4061960,1491430,29870,10670,260673,387500,2044437,352560,723192,479140,3042180,347250,2833768,1459640,77487856,344820,400724,24380,21718,317110,1708975,1602930,4917461
23,ME,2012,631290,306000,254320,60900,304750,1152380,309970,4700,4080,67296,170150,1137027,175810,674361,188020,1903883,149910,1135484,489030,21570577,89970,111292,15210,5895,105690,415696,491410,1137690
24,MD,2012,2859990,1360250,967790,452100,1477200,5498060,1841910,11700,26190,629450,1236380,10830775,1090900,4525026,1332790,15670241,982680,10850923,2283110,140685232,432020,507071,57310,33697,543610,2416278,2181610,6276934
25,MA,2012,3261270,1697720,1154150,350470,1846000,5907230,1759340,4830,37660,767591,1158940,9955965,1126350,6195664,1248680,16644514,966080,9724037,2617540,193557307,433250,531279,76580,30518,603400,3340299,2458900,6830905
26,MI,2012,4629970,2199380,1773950,589140,2627420,8899820,2838650,42170,21200,424061,1149250,6245902,1232880,4385257,1337720,11241670,1066820,7972718,3371460,175566854,671460,866202,105370,34951,716590,2956653,3591370,9166426
27,MN,2012,2618760,1274560,1052570,259410,1440160,5036680,1576690,71770,19890,353383,899240,6980824,910090,3124567,985190,10488292,788830,6824190,2083890,121265896,417230,563027,56500,20752,519870,2744286,1952420,4709894
28,MS,2012,1249240,490170,414830,321790,754120,2607600,1011580,39050,5500,95767,216810,1052312,237370,452286,299770,1759435,209780,1483508,862650,35242938,221470,242746,13400,4495,181510,828234,1020160,3121770
29,MO,2012,2726230,1236470,1080640,361150,1497050,5324480,1698320,96670,13340,264135,673220,4135986,704580,1948119,780710,6619167,612220,4577222,2036620,101344904,439670,552245,42120,21321,449130,2034805,2119070,5526165
30,MT,2012,484750,232770,198700,45210,276680,905460,254400,19550,2450,43480,131570,736560,128380,327372,143010,1116593,106280,871532,362240,17241037,70790,93691,9370,3855,95780,475765,348890,809194
31,NE,2012,871320,401420,362200,95580,502810,1731640,569720,45490,5310,101766,223550,1476722,229170,873893,256970,2525776,192970,1285401,682730,36103091,155280,212747,16300,7359,161390,1130928,662670,1650015
32,NV,2012,1289070,610710,438640,219420,706860,2601910,927540,3610,4170,90250,27650,396739,286470,778770,341150,1786042,265590,2819804,982180,54211264,222200,257573,13350,9090,213540,1145194,1009120,2937838
33,NH,2012,679730,335720,271890,59220,306790,1235420,341250,2200,6120,110101,95920,460670,216640,1449295,227050,2029046,187980,1726108,544020,32321867,97030,124791,16730,7184,113840,544622,528560,1365466
34,NJ,2012,4306600,2024720,1568530,633840,2798920,8349970,2813400,9320,41660,1007627,1479690,14118115,1600870,13974651,1819790,28792807,1305880,13226470,3366280,239197833,613200,717234,78630,34887,753360,3997483,3285030,10161893
35,NM,2012,905070,412970,321140,161470,450010,1824250,640100,14180,3490,62890,180090,836283,194520,460130,221030,1373990,175080,1571287,648620,29367510,154040,181911,13840,13120,145290,630631,704280,1885238
36,NY,2012,9362160,4690230,2959580,1534980,6166610,17410910,5651240,29190,84730,2261677,2867130,41512846,2448430,19261769,3316950,62156767,2052510,19667631,6974790,502377138,1224120,1409158,133730,60597,1598090,7979950,7168820,22110159
37,NC,2012,4285200,1776850,1645320,772510,2295420,8796320,3103880,46620,20590,417356,1222020,8633125,1248620,3286183,1407200,12523287,1116060,9146774,3134350,150658401,722450,823963,68850,30494,742650,3105252,3332290,8903321
38,ND,2012,353120,177700,141020,29910,210240,652300,186630,27790,2840,67068,51670,262945,57040,194822,69890,484789,48660,362157,292070,19010727,56380,79384,5880,3061,80620,897599,254620,623963
39,OH,2012,5506020,2512780,1909410,715800,2788300,10323930,3313020,71650,29160,572910,1444300,9761058,1435560,5297961,1607020,15456365,1276690,8640833,4211640,202866333,852320,1088554,101810,38858,848210,3747223,4394820,11124637
40,OK,2012,1613320,672380,668650,240510,909320,3333290,1143140,75840,5170,99039,331490,2023717,350060,798826,410860,2999611,298840,2117175,1211380,63526253,298180,369699,20220,9338,282300,1476131,1250520,3499056
41,OR,2012,1768380,824500,718090,195250,831740,3474380,1074690,33360,12530,239140,610260,4615056,591890,2092502,659310,6811614,514450,4826597,1336230,65761736,261380,325547,21900,11105,350270,1447454,1292020,3077668
42,PA,2012,6130320,2998520,2317710,708520,3246960,11402960,3442040,43640,39110,786661,1625640,10243070,1680610,7863098,1857130,18641934,1449670,11533204,4680800,262484145,886260,1119134,132510,60204,887690,4348283,4850850,12721854
